year,areakm,municipality,geocode_ibge,state,municipio,codigo_ibge,gentilico,prefeito,area_km2,populacao_2022,densidade_2022,populacao_estimada_2024,escolarizacao_6a14_2010,idhm_2010,mortalidade_infantil_2022,receitas_2022,despesas_2022,pib_per_capita_2021,desmatamento_per_capita,idhm_cat
2007,684.7060860136418,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,0.004328432536056096,Alto
2008,1.2424613960392064,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,7.854334058457066e-06,Alto
2009,2.9896739671142676,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,1.889949912202106e-05,Alto
2010,3.828982988405459,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,2.4205268341501627e-05,Alto
2011,0.8320869368751692,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,5.260114148198151e-06,Alto
2012,2.2409178045443676,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,1.4166168132502893e-05,Alto
2013,0.4211711114951701,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,2.6624719415832433e-06,Alto
2014,0.2439393881625319,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,1.5420852919471257e-06,Alto
2015,0.5861482650246084,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,3.7053902004235996e-06,Alto
2016,0.3856690067861612,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,2.438042119415892e-06,Alto
